player,icon_club,tier,ovr,attack,defense,creation,gk,position,role,note
Diego Armando Maradona,Napoli,generational,97,94,50,97,,Midfielder,Mediapunta,muestra insuficiente
Johan Cruyff,Ajax,generational,95,92,52,95,,Forward,Delantero completo,muestra insuficiente
Fabio Cannavaro,Real Madrid,generational,93,52,93,72,,Defender,Central stopper,Balon de Oro 2006 - muestra insuficiente
Lev Yashin,Dinamo Moscu,generational,94,,,,94,Goalkeeper,Portero,unico portero con Balon de Oro - fuera de los datos
Franz Beckenbauer,Bayern Munich,generational,95,62,94,88,,Defender,Central de salida,dos Balones de Oro - fuera de los datos
Roberto Carlos,Real Madrid,elite,91,74,86,78,,Defender,Lateral ofensivo,muestra insuficiente
Cafu,Milan,elite,90,70,86,76,,Defender,Lateral ofensivo,muestra insuficiente
Franco Baresi,Milan,generational,93,48,93,74,,Defender,Central stopper,muestra insuficiente
Lilian Thuram,Juventus,elite,90,50,90,70,,Defender,Central stopper,muestra insuficiente
Rio Ferdinand,Manchester United,elite,90,50,89,74,,Defender,Central de salida,muestra insuficiente
Nemanja Vidic,Manchester United,elite,90,52,90,64,,Defender,Central stopper,muestra insuficiente
Javier Zanetti,Internazionale,elite,89,62,86,74,,Defender,Lateral defensivo,muestra insuficiente
Thiago Silva,Paris SG,elite,90,50,90,72,,Defender,Central stopper,muestra insuficiente
Vincent Kompany,Manchester City,elite,89,54,89,70,,Defender,Central stopper,muestra insuficiente
Ashley Cole,Chelsea,elite,88,60,87,70,,Defender,Lateral defensivo,muestra insuficiente
Edwin van der Sar,Manchester United,elite,90,,,,90,Goalkeeper,Portero,muestra insuficiente
Peter Schmeichel,Manchester United,generational,92,,,,92,Goalkeeper,Portero,muestra insuficiente
Dino Zoff,Juventus,elite,90,,,,90,Goalkeeper,Portero,muestra insuficiente
Oliver Kahn,Bayern Munich,elite,91,,,,91,Goalkeeper,Portero,muestra insuficiente
Paul Scholes,Manchester United,elite,90,80,68,90,,Midfielder,Creador,muestra insuficiente
Roy Keane,Manchester United,elite,89,72,84,80,,Midfielder,Box-to-box,muestra insuficiente
Patrick Vieira,Arsenal,elite,90,74,86,80,,Midfielder,Box-to-box,muestra insuficiente
Clarence Seedorf,Milan,elite,88,78,70,86,,Midfielder,Creador,muestra insuficiente
Michael Essien,Chelsea,elite,87,72,84,74,,Midfielder,Box-to-box,muestra insuficiente
Claude Makelele,Real Madrid,elite,88,50,88,70,,Midfielder,Destructor,el rol lleva su nombre
