label,player
Liverpool 2019,James Milner
Liverpool 2019,Mohamed Salah
Liverpool 2019,Roberto Firmino Barbosa de Oliveira
Liverpool 2019,Sadio Mané
Liverpool 2019,Dejan Lovren
Liverpool 2019,Naby Deco Keïta
Liverpool 2019,Divock Origi
Bayern 2013,Manuel Neuer
Bayern 2013,Philipp Lahm
Bayern 2013,Jérôme Boateng
Bayern 2013,Dante
Bayern 2013,David Olatukunbo Alaba
Bayern 2013,Bastian Schweinsteiger
Bayern 2013,Javi Martínez
Bayern 2013,Arjen Robben
Bayern 2013,Thomas Müller
Bayern 2013,Franck Bilal Ribéry
Bayern 2013,Mario Mandžukić
Bayern 2013,Toni Kroos
Bayern 2013,Mario Götze
Chelsea 2012,Petr Čech
Chelsea 2012,Branislav Ivanović
Chelsea 2012,John Terry
Chelsea 2012,Gary Cahill
Chelsea 2012,Ashley Cole
Chelsea 2012,John Obi Mikel
Chelsea 2012,Frank Lampard
Chelsea 2012,Juan Manuel Mata García
Chelsea 2012,Salomon Kalou
Chelsea 2012,Didier Drogba
Chelsea 2012,Ramires Santos do Nascimento
Chelsea 2012,Fernando José Torres Sanz
Chelsea 2012,David Luiz Moreira Marinho
Atlético Madrid 2014,Thibaut Courtois
Atlético Madrid 2014,Juan Francisco Torres Belén
Atlético Madrid 2014,Diego Roberto Godín Leal
Atlético Madrid 2014,Miranda
Atlético Madrid 2014,Filipe Luís Kasmirski
Atlético Madrid 2014,Gabriel Iván Fernández Arenas
Atlético Madrid 2014,Tiago Cardoso Mendes
Atlético Madrid 2014,Koke
Atlético Madrid 2014,Arda Turan
Atlético Madrid 2014,Diego da Silva Costa
Atlético Madrid 2014,David Villa Sánchez
Atlético Madrid 2014,Raúl García Escudero
Atlético Madrid 2014,Mario Suárez Mata
Borussia Dortmund 2013,Roman Weidenfeller
Borussia Dortmund 2013,Łukasz Piszczek
Borussia Dortmund 2013,Mats Hummels
Borussia Dortmund 2013,Neven Subotić
Borussia Dortmund 2013,Marcel Schmelzer
Borussia Dortmund 2013,Sven Bender
Borussia Dortmund 2013,İlkay Gündoğan
Borussia Dortmund 2013,Jakub Błaszczykowski
Borussia Dortmund 2013,Marco Reus
Borussia Dortmund 2013,Mario Götze
Borussia Dortmund 2013,Robert Lewandowski
Borussia Dortmund 2013,Kevin Großkreutz
Borussia Dortmund 2013,Nuri Şahin
Juventus 2017,Gianluigi Buffon
Juventus 2017,Andrea Barzagli
Juventus 2017,Leonardo Bonucci
Juventus 2017,Giorgio Chiellini
Juventus 2017,Alex Sandro Lobo Silva
Juventus 2017,Dani Alves
Juventus 2017,Miralem Pjanić
Juventus 2017,Sami Khedira
Juventus 2017,Paulo Bruno Exequiel Dybala
Juventus 2017,Gonzalo Gerardo Higuaín
Juventus 2017,Mario Mandžukić
Juventus 2017,Claudio Marchisio
Juventus 2017,Juan Guillermo Cuadrado Bello
Manchester City 2023,Ederson Santana de Moraes
Manchester City 2023,Kyle Walker
Manchester City 2023,Rúben Santos Gato Alves Dias
Manchester City 2023,John Stones
Manchester City 2023,Nathan Aké
Manchester City 2023,Rodrigo Hernández Cascante
Manchester City 2023,Kevin De Bruyne
Manchester City 2023,İlkay Gündoğan
Manchester City 2023,Bernardo Mota Veiga de Carvalho e Silva
Manchester City 2023,Jack Grealish
Manchester City 2023,Erling Haaland
Manchester City 2023,Phil Foden
Manchester City 2023,Julián Álvarez
Leicester 2016,Kasper Schmeichel
Leicester 2016,Danny Simpson
Leicester 2016,Wes Morgan
Leicester 2016,Robert Huth
Leicester 2016,Christian Fuchs
Leicester 2016,N'Golo Kanté
Leicester 2016,Danny Drinkwater
Leicester 2016,Riyad Mahrez
Leicester 2016,Marc Albrighton
Leicester 2016,Shinji Okazaki
Leicester 2016,Jamie Vardy
Leicester 2016,Leonardo Ulloa
Leicester 2016,Andy King
